Type,Date,Latitude,Longitude,Gender,Age range,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing,datetime
Person and Vehicle search,2025-01-03T20:22:07+00:00,51.509133,-0.061248,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,True,False,2025-01-03 20:22:07+00:00
Person search,2025-01-03T21:13:46+00:00,51.514202,-0.10845,Male,10-17,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,True,False,2025-01-03 21:13:46+00:00
Person and Vehicle search,2025-01-03T21:34:15+00:00,51.515383,-0.078783,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2025-01-03 21:34:15+00:00
Person search,2025-01-03T22:43:10+00:00,,,Male,18-24,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,False,False,2025-01-03 22:43:10+00:00
Person search,2025-01-04T00:59:11+00:00,51.509133,-0.061248,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2025-01-04 00:59:11+00:00
Person and Vehicle search,2025-01-04T01:19:15+00:00,51.509133,-0.061248,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,True,False,2025-01-04 01:19:15+00:00
Person and Vehicle search,2025-01-04T03:48:28+00:00,51.51636,-0.082993,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2025-01-04 03:48:28+00:00
Person search,2025-01-04T04:17:11+00:00,51.51636,-0.082993,Female,18-24,Misuse of Drugs Act 1971 (section 23),Evidence of offences under the Act,A no further action disposal,False,False,2025-01-04 04:17:11+00:00
Person search,2025-01-04T06:26:51+00:00,51.519905,-0.102477,Male,10-17,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,True,False,2025-01-04 06:26:51+00:00
Person search,2025-01-04T06:48:36+00:00,51.522833,-0.101649,Male,18-24,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,True,False,2025-01-04 06:48:36+00:00
Person search,2025-01-04T07:09:26+00:00,51.519905,-0.102477,Male,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,False,False,2025-01-04 07:09:26+00:00
Person and Vehicle search,2025-01-04T07:17:59+00:00,51.5343,-0.104574,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2025-01-04 07:17:59+00:00
Person search,2025-01-04T18:10:24+00:00,51.511896,-0.09154,Male,over 34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2025-01-04 18:10:24+00:00
Person and Vehicle search,2025-01-04T21:51:33+00:00,51.506419,-0.088195,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,False,2025-01-04 21:51:33+00:00
Person search,2025-01-04T22:05:59+00:00,51.506419,-0.088195,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,True,False,2025-01-04 22:05:59+00:00
Person search,2025-01-07T11:25:22+00:00,51.518948,-0.090553,Male,over 34,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,False,False,2025-01-07 11:25:22+00:00
